ID,LastName,FirstName,URL,Weight,TeamID,MemberID,Birthday,PlayerNum,YearsPro,Drafted,Height,Salary,StandingLayup,DrivingLayup,PostFadeaway,PostHook,PostControl,DrawFoul,MovingShotClose,StandingShotClose,MovingShotMidRange,StandingShotMidRange,MovingShotThree,StandingShotThree,FreeThrow,BallControl,PassingVision,PassingIQ,PassingAccuracy,BoxOut,OffensiveRebound,DeffensiveRebound,LateralQuickness,PassPerception,Block,ShotContest,Steal,DefensiveConsistency,OnBallDefenseIQ,PickAndRollDefenseIQ,HelpDefensiveIQ,LowPostDefenseIQ,StandingDunk,DrivingDunk,ContactDunk,Speed,Acceleration,Vertical,Strength,Stamina,Hustle,ShotIQ,Hands,ReactionTime,OffensiveConsistency,,,,,,,,,,,,,,,,,OverallDurability,,Shot,StandingLayup,DrivingLayup,StandingDunk,DrivingDunk,FlashyDunk,AlleyDop,Putback,Crash,SpinLayup,HopStepLayup,EuroStepLayup,Floater,StepThroughShot,ShotUnderBasket,ShotClose,ShotCloseLeft,ShotCloseMiddle,ShotCloseRight,ShotMidRange,ShotMidRangeLeft,ShotMidRangeLeftCenter,ShotMidRangeCenter,ShotMidRangeRightCenter,ShotMidRangeRight,ShotThree,ShotThreeLeft,ShotThreeLeftCenter,ShotThreeCenter,ShotThreeRightCenter,ShotThreeRight,ContestedJumper,StepBackJumper,SpinJumper,PullUpInTransaction,UseGlass,Drive,DriveRight,TripleThreatPumpFake,TripleThreatJabStep,TripleThreatIdle,TripleThreatShot,SetupWithSizeup,SetupWithHesitation,NoSetupDribble,DrivingCrossover,DrivingSpin,DrivingStepBack,DrivingHalfSpin,,DrivingBehindTheBack,DrivingDribbleHesitation,DrivingInAndOut,NoDrivingDribbleMove,AttachStrongOnDrive,DishToOpenMan,Touches,,RollvsPop,,,,,,,,,,,,,,,,,FlashyPass,AlleyDopPass,PassInterception,TakeCharge,OnBallSteal,ContestShot,BlockShot,Foul,HardFoul
2478,Wroten,Tony,http://mtdb.com/nba2k16/player/tony-wroten/,205,0,2468,4/13/1993,1,4,R:1 P:25,"16' 6""",2179353,79,77,48,35,45,83,57,63,70,69,62,68,66,88,79,82,68,35,37,45,57,78,42,64,79,45,62,61,64,48,30,65,30,81,84,77,49,92,82,84,88,60,80,75,70,85,74,85,83,80,80,81,81,80,80,76,72,80,80,82,99,77,15,65,15,20,35,10,5,30,60,65,45,50,50,62,45,2,0,1,5,0,10,1,1,7,65,0,13,1,0,2,60,0,15,35,0,97,47,5,5,80,10,30,40,20,70,30,30,10,5,40,50,20,60,65,79,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,62,70,68,72,46,88,35
2836,Thompson,Hollis,http://mtdb.com/nba2k16/player/hollis-thompson/,186,0,2836,4/3/1991,31,3,R:1 P:0,"2' 4""",947276,83,66,46,33,42,49,64,68,70,71,83,85,70,70,36,54,64,48,40,48,68,65,51,58,62,70,69,70,66,49,40,60,30,66,64,64,42,83,74,74,82,62,65,70,81,80,80,80,80,80,80,80,80,80,75,80,80,80,80,81,25,41,35,25,20,15,10,28,20,29,15,30,30,30,25,23,20,4,4,6,25,1,19,1,1,9,70,2,16,4,4,6,30,83,12,30,16,15,49,80,69,34,69,32,16,48,54,28,43,48,58,36,53,38,60,65,36,56,0,2,0,67,1,70,0,0,0,0,0,38,38,45,58,82,0,0,10,2,22,5,18,57,32,29,5
2850,Covington,Robert,http://mtdb.com/nba2k16/player/robert-covington/,215,0,2850,12/14/1990,33,3,R:1 P:0,"9' 7""",1000000,77,60,61,56,63,69,58,68,50,52,78,83,82,70,39,69,66,69,41,62,62,65,52,64,75,50,67,69,68,62,55,55,30,66,67,70,62,82,84,89,92,68,70,75,81,82,83,82,81,82,82,83,83,81,82,82,81,84,84,81,25,48,15,15,10,5,40,75,15,20,35,35,40,25,50,27,20,2,2,6,35,2,17,1,1,8,90,1,23,3,1,6,50,35,45,40,20,85,52,15,30,25,30,50,20,30,50,30,40,15,0,15,60,35,85,65,39,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,78,70,72,68,68,58,74
2759,Noel,Nerlens,http://mtdb.com/nba2k16/player/nerlens-noel/,228,0,2692,4/10/1994,4,2,R:1 P:6,"6' 8""",3457800,82,60,62,62,68,67,65,72,58,62,25,25,60,46,39,60,32,84,65,78,64,78,85,85,83,60,65,79,85,83,90,75,45,72,67,74,60,84,90,78,84,85,50,83,84,83,79,77,80,84,85,72,84,54,77,81,88,77,77,70,25,51,55,30,55,50,40,95,65,5,5,5,0,0,25,72,70,9,2,0,50,2,0,4,3,0,0,2,0,5,1,0,55,6,67,5,68,20,58,44,66,78,78,5,3,41,18,51,1,31,1,1,30,10,91,96,39,60,40,99,1,15,50,50,25,50,45,0,0,15,5,1,70,55,80,15,10,0,38,34,27,60,86,65,22
4447,Okafor,Jahlil,http://mtdb.com/nba2k16/player/jahlil-okafor/,270,0,4447,12/15/1995,8,1,R:2 P:3,"9' 7""",4582680,93,58,72,83,84,80,77,79,50,55,28,30,51,42,54,64,55,84,82,72,43,48,77,74,66,35,49,54,66,70,90,50,40,58,51,60,85,88,77,78,94,75,65,88,84,84,85,84,84,84,84,84,84,84,84,84,84,84,85,85,99,80,80,30,50,20,20,75,50,5,10,10,15,5,61,68,80,6,2,0,5,3,1,4,4,1,1,3,1,5,2,0,95,10,35,20,30,15,50,15,10,35,40,0,0,99,0,0,0,0,0,0,0,0,99,70,54,88,90,70,10,10,65,60,75,70,65,0,0,70,15,1,60,60,60,38,0,0,35,62,50,78,74,48,65
4090,Embiid,Joel,http://mtdb.com/nba2k16/player/joel-embiid/,250,0,4090,3/16/1994,21,1,R:1 P:3,"4' 7""",4626960,88,57,70,78,70,60,60,75,45,62,30,32,69,30,30,58,25,82,80,80,40,64,82,75,70,45,68,70,74,75,80,55,45,61,48,68,80,80,70,50,70,75,30,81,84,84,70,84,84,84,84,84,84,84,84,84,84,75,40,72,99,55,65,15,99,99,96,99,85,5,10,25,25,10,51,68,75,6,2,0,35,3,1,4,4,1,0,3,1,5,2,0,5,0,0,5,5,25,47,0,5,90,5,0,0,99,0,0,0,0,0,0,0,0,99,50,30,31,55,99,0,0,45,40,60,75,75,1,0,0,0,10,30,20,60,30,10,0,25,50,35,99,82,64,72
4098,Stauskas,Nik,http://mtdb.com/nba2k16/player/nik-stauskas/,207,0,4098,10/7/1993,11,2,R:1 P:8,"2' 2""",2869440,76,71,58,25,35,52,64,65,73,75,70,80,85,78,37,62,64,33,30,43,51,58,51,60,57,35,58,60,54,35,30,35,30,70,67,69,35,80,75,75,82,60,60,73,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,82,99,74,15,35,0,0,0,0,0,10,35,50,50,45,75,15,10,3,4,5,50,4,20,4,3,5,75,6,15,3,4,9,40,60,5,75,15,35,49,5,5,75,15,0,30,70,10,0,30,0,0,0,20,0,90,20,37,50,0,0,0,0,0,0,0,0,0,1,1,5,5,5,0,0,0,3,35,5,46,76,58,35,29,42,35
1440,Landry,Carl,http://mtdb.com/nba2k16/player/carl-landry/,248,0,1440,9/19/1983,7,9,R:2 P:1,"0' 8""",6500000,89,58,71,72,80,71,74,75,78,88,25,25,82,42,28,54,25,66,69,65,60,49,51,63,55,45,60,67,68,63,80,55,80,67,50,68,85,79,75,74,61,63,45,74,81,81,84,78,79,81,83,69,78,69,78,79,73,81,82,74,25,59,35,20,40,20,15,40,35,5,25,30,20,10,47,42,40,7,6,1,65,8,1,5,8,1,0,8,1,6,5,1,45,20,5,5,5,60,50,15,30,20,35,0,40,60,25,50,15,0,0,0,0,0,99,60,28,63,40,40,0,30,25,30,27,25,15,5,5,20,20,5,15,20,5,13,5,0,60,66,65,66,53,72,78
2795,Jackson,Pierre,http://mtdb.com/nba2k16/player/pierre-jackson/,176,0,2728,8/29/1991,55,1,R:2 P:12,"5' 2""",750000,78,82,40,25,25,54,81,70,73,74,78,81,74,81,60,71,70,32,39,32,51,62,26,60,77,30,51,52,50,25,25,25,25,87,76,81,40,80,85,60,86,60,50,76,80,82,80,80,80,82,80,80,81,80,80,82,68,80,82,74,65,80,10,60,0,0,0,2,5,40,85,70,90,85,84,36,5,4,2,3,15,5,10,5,4,7,35,5,9,5,2,3,30,50,20,50,5,85,52,5,5,85,5,50,25,25,50,20,60,25,35,35,25,40,99,60,60,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,40,78,55,82,50,26,56,25
2787,Canaan,Isaiah,http://mtdb.com/nba2k16/player/isaiah-canaan/,188,0,2720,5/2/1991,0,3,R:1 P:4,"12' 0""",947276,81,79,25,25,25,59,79,78,71,73,78,82,81,80,67,74,72,40,35,45,56,52,32,54,61,45,56,66,52,25,25,40,25,76,88,85,52,80,90,72,71,54,60,73,84,85,85,86,84,83,82,82,84,83,83,88,87,84,82,82,65,53,5,55,0,0,0,5,10,55,55,65,75,80,80,15,15,2,2,6,35,2,27,1,1,16,80,3,14,3,2,6,45,75,15,25,5,83,60,0,0,97,3,85,70,60,25,10,35,15,5,15,35,15,45,35,67,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,20,65,42,64,69,26,39,25
834,Wallace,Gerald,http://mtdb.com/nba2k16/player/gerald-wallace/,220,0,834,7/23/1982,45,15,R:1 P:25,"17' 2""",10105855,70,72,69,64,50,51,72,74,63,61,55,72,40,64,30,48,56,50,57,65,60,64,51,74,77,40,72,76,66,68,35,50,35,67,68,80,51,77,75,78,66,74,30,75,72,77,80,70,72,83,84,78,84,59,70,63,75,74,78,70,25,57,30,50,35,50,50,90,20,95,40,55,50,45,74,35,15,4,3,6,5,3,9,4,3,5,2,4,10,5,3,6,10,25,35,15,30,90,54,15,15,45,25,0,40,60,30,50,0,15,0,0,30,5,99,40,30,32,10,50,15,30,35,25,9,15,5,0,0,25,25,1,35,40,15,20,10,0,84,80,79,84,61,40,34
4207,Sampson,JaKarr,http://mtdb.com/nba2k16/player/jakarr-sampson/,207,0,4207,3/20/1993,9,2,R:1 P:0,"5' 10""",845059,75,68,38,35,38,65,54,60,61,64,66,69,67,71,45,54,55,50,41,57,78,71,55,76,63,70,77,72,80,60,50,70,35,66,70,78,40,80,75,44,70,68,25,72,81,82,81,82,84,84,80,82,82,81,81,80,82,80,80,81,25,48,50,25,45,45,70,75,35,15,20,30,40,5,25,46,20,4,1,8,5,1,10,3,1,4,0,1,10,2,2,7,0,20,25,5,10,65,52,5,15,40,35,20,30,50,50,40,25,0,0,15,35,0,99,30,45,63,0,50,0,5,15,0,18,0,0,0,0,16,5,5,0,0,0,3,10,0,68,72,74,64,73,54,35
4105,Grant,Jerami,http://mtdb.com/nba2k16/player/jerami-grant/,214,0,4105,3/12/1994,39,2,R:1 P:9,"9' 6""",845059,75,62,52,42,50,73,44,50,46,50,75,75,59,58,38,39,40,54,43,56,74,72,80,76,61,65,73,73,64,60,65,72,65,72,70,78,62,80,85,64,82,76,45,76,84,85,88,84,85,84,86,80,81,80,68,80,70,80,80,81,25,37,20,40,10,40,85,80,15,35,30,45,55,35,86,37,15,2,2,10,30,1,11,2,2,10,60,2,12,2,3,4,45,25,15,20,15,68,51,5,5,65,25,0,40,60,35,25,0,0,0,0,45,0,99,30,38,58,2,0,0,5,15,0,1,0,0,0,0,5,5,5,0,0,0,3,10,10,60,66,64,68,39,82,40
4268,Aldemir,Furkan,http://mtdb.com/nba2k16/player/frkan-aldemir/,240,0,4268,8/9/1991,19,2,R:1 P:23,"14' 8""",2836768,85,65,65,60,64,49,58,60,50,65,25,25,48,35,35,33,33,76,91,78,55,58,63,65,62,45,55,57,67,66,75,65,75,37,32,45,68,60,65,55,45,65,35,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,25,48,40,20,75,65,40,90,75,25,10,15,5,5,57,75,45,1,4,1,8,1,1,1,0,3,2,0,1,3,9,0,20,5,15,5,35,40,49,10,15,25,50,0,20,80,15,15,5,0,0,0,10,0,99,40,35,30,24,50,25,35,25,5,20,30,35,1,1,5,5,5,15,10,5,5,10,0,55,65,45,70,69,66,45
4419,Holmes,Richaun,http://mtdb.com/nba2k16/player/richaun-holmes/,245,0,4419,10/15/1993,22,1,R:2 P:7,"9' 1""",1074169,80,60,57,72,60,64,70,75,68,74,50,55,72,58,33,40,42,64,61,66,56,55,77,52,60,35,58,54,55,58,65,65,40,65,60,81,58,80,70,54,60,60,40,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,80,50,48,45,30,75,35,40,75,50,20,20,15,20,10,42,49,50,6,3,2,20,4,4,4,6,4,0,4,4,5,3,2,20,0,0,10,50,20,53,5,15,75,5,0,0,100,0,0,0,0,0,0,0,0,99,15,33,49,21,99,0,0,25,15,20,30,25,1,1,25,25,25,0,0,25,25,0,0,45,62,40,74,80,91,72
2764,Carter-Williams,Michael,http://mtdb.com/nba2k16/player/michael-carter-williams/,185,1,2697,10/10/1991,5,3,R:1 P:11,"6' 2""",2399040,80,75,62,50,51,73,76,77,66,66,54,62,69,78,83,85,84,72,41,64,81,74,51,70,77,65,81,82,79,58,40,60,30,76,77,75,38,87,84,83,84,70,65,81,88,85,90,80,70,80,83,79,81,74,78,77,80,75,80,79,65,73,40,70,0,15,10,30,10,29,50,90,70,50,55,50,70,5,3,1,75,7,7,5,3,4,50,5,4,4,1,1,30,35,45,45,35,65,53,5,5,75,25,65,5,40,20,30,35,35,10,5,40,50,50,35,83,93,15,0,5,15,10,0,3,5,0,2,2,15,15,5,25,20,5,10,50,30,59,15,62,67,38,39,54
2492,Middleton,Khris,http://mtdb.com/nba2k16/player/khris-middleton/,217,1,2482,8/12/1991,22,4,R:4 P:9,"11' 9""",14700000,83,77,64,49,57,57,86,88,82,85,81,85,85,74,48,70,62,54,36,62,83,68,35,53,77,70,84,78,78,67,40,55,40,65,66,66,36,77,68,85,85,53,80,83,90,93,92,95,98,89,95,92,88,85,85,90,88,88,87,90,25,66,35,35,15,20,15,15,25,15,20,30,35,15,30,23,20,11,10,8,85,4,9,4,3,3,75,4,6,6,4,5,40,25,5,45,25,54,50,15,15,55,15,0,20,80,25,0,15,0,0,0,0,0,50,50,48,70,5,0,0,5,15,0,4,0,0,1,1,5,5,10,0,0,0,3,15,5,60,68,64,65,40,80,35
